"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Standard_Contact_Pick_List__c","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
029d5e19-2a3c-4b3f-8bd7-a41737dc63c0,5c6de777-62eb-40ec-8030-c223f45df12c,"#N/A","#N/A","#N/A","#N/A","Jessica L. Mayer is executive vice president, deputy general counsel & corporate secretary at Cardinal Health.",jmanningcongagdo+139@gmail.com,"#N/A","#N/A",Lianne,"#N/A","#N/A",Bald,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(259) 569-1856,"#N/A","#N/A","#N/A","EVP, Deputy General Counsel & Corporate Secretary",Prodly,"#N/A","#N/A",false,false
02f2302d-afaa-4845-b8c1-24a1514e8396,a3bb556c-bc54-4a15-9bc3-5a24f4f9746c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+338@gmail.com,"#N/A","#N/A",Lyndell,"#N/A","#N/A",Nolly,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(297) 972-5262,"#N/A","#N/A","#N/A",Executive Vice President and Chief Merchandising Officer,Prodly,"#N/A","#N/A",false,false
0318a810-acef-4927-9f4a-f66edbf3fe70,f98dd715-e421-4223-b8a1-faa1f66c229e,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+83@gmail.com,"#N/A","#N/A",Carla,"#N/A","#N/A",Kevon,"#N/A",Los Angeles,USA,"#N/A","#N/A","#N/A",90012,CA,1000 Elysian Park Avenue,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(173) 840-0149,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0323daf9-f756-462f-89b9-633b1d5381ca,2ab3a01b-adab-443c-be42-dcb81d1e2dc7,"#N/A",(03) 6686 8203,"#N/A",Operations,"#N/A",jmanningcongagdo+699@gmail.com,"#N/A",(03) 6686 8203,Lilas,"#N/A","#N/A",Gordy,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,0424 286 735,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,(03) 6686 8203,"#N/A","#N/A","#N/A",Purchasing,Prodly,"#N/A","#N/A",false,false
03564097-4439-44ba-95cf-2795eff38ec1,1a7ed4f7-7767-4f53-a17e-dbd534ca064b,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+290@gmail.com,"#N/A","#N/A",Fedora,"#N/A","#N/A",Jeffrey,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(954) 660-2022,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0372eb54-4e45-49ea-9e15-4ab3a2583e6b,03d9e86d-9bcb-462e-b2f2-99377f25dbe3,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+242@gmail.com,"#N/A","#N/A",Pollyanna,"#N/A","#N/A",Heall,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0107,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
03cca3a3-fcc7-456e-8710-5f5bd2f4ef01,ce8244d1-3f37-43db-b5f9-ae52d607bafe,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+64@gmail.com,"#N/A","#N/A",Fianna,"#N/A","#N/A",Braden,"#N/A",London,UK,"#N/A","#N/A","#N/A",SW6 0EP,"#N/A",39 Crown Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",077 6365 8742,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0427e298-6172-4913-a4cc-d4f0f111671f,4e3a2eb4-e4f2-4590-9e6c-f8130ec44f55,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+27@gmail.com,"#N/A","#N/A",Rebekkah,"#N/A","#N/A",Conny,"#N/A",Marple,UK,"#N/A","#N/A","#N/A",SK6 4HJ,"#N/A",14 Ross Road,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",078 0017 4455,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
04996948-6789-4957-a0ef-b45255a174a5,daaabf7a-5d7b-473f-b69f-3696765980fc,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+136@gmail.com,"#N/A","#N/A",Lula,"#N/A","#N/A",Donovan,"#N/A",Washington,USA,"#N/A","#N/A","#N/A",20003,DC,1500 South Capitol Street Southeast,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(196) 494-2344,"#N/A","#N/A","#N/A",Senior Vice President and Treasurer,Prodly,"#N/A","#N/A",false,false
0514cece-7015-49ae-8228-a3b39b9b6b9d,64fe94b5-f8ad-4ba6-90ad-6386d289d1af,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+151@gmail.com,"#N/A","#N/A",Renie,"#N/A","#N/A",Gaylord,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0102,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
05484f3f-ce17-4c6b-9984-ec8d9950cbef,29f13ba7-9ec3-4f3e-aede-ef77e319fbf1,"#N/A","#N/A",1993-07-29,"#N/A","Xuong Nguyen was appointed as Chief Operating Officer of the Company in October 2015. Prior to that he served as Executive Vice President of the FCM Division of INTL FCStone Financial Inc., a subsidiary of the Company, as well as Chief Operating Officer of additional subsidiaries of the Company.",jmanningcongagdo+271@gmail.com,"#N/A","#N/A",Emmeline,"#N/A","#N/A",Sterling,"#N/A",Sydney,Australia,"#N/A","#N/A","#N/A",2000,NSW,201 Sussex Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(581) 384-1645,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
05fe77df-d858-4e9a-83cc-ca27bc02debd,1e083e99-b2a5-4a8e-961b-495f35888a95,"#N/A","#N/A","#N/A","#N/A","Brian Cornell is board chairman and CEO of Target Corp. He is responsible for Target’s global business, including more than 1,800 U.S. stores and Target.com, more than 320,000 team members and millions of guests.",jmanningcongagdo+291@gmail.com,"#N/A","#N/A",Sybille,"#N/A","#N/A",Killie,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(354) 765-5274,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0613a6fe-4726-4b78-b959-39a9f713ccdc,878fa787-fd98-4568-967c-a11672d63a89,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+310@gmail.com,"#N/A","#N/A",Noemi,"#N/A","#N/A",Archy,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(402)952-5053,"#N/A","#N/A","#N/A",CSO,Prodly,"#N/A","#N/A",false,false
06695273-d3e2-4551-b079-5ccfaf4a1b14,6ba55df3-e90a-4e8d-835c-caeb89ba203e,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+429@gmail.com,"#N/A","#N/A",Elysha,"#N/A","#N/A",Juan,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 3912,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
077c6053-430c-4278-98be-9ebe73e17acd,91904a80-3e69-4f51-8d55-dca54eb60405,"#N/A",(03) 7145 6967,"#N/A",Sales,"#N/A",jmanningcongagdo+781@gmail.com,"#N/A",(03) 7145 6967,Caye,"#N/A","#N/A",Pepillo,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,0429 604 507,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,(03) 7145 6967,"#N/A","#N/A","#N/A",Account Executive,Prodly,"#N/A","#N/A",false,false
080ba5c8-b298-4b87-ad91-f778ee8ddb53,dcb0e7b8-f2c5-4c73-906e-882f25a56c83,"#N/A",(03) 7627 8781,"#N/A",CEO,"#N/A",jmanningcongagdo+3@gmail.com,"#N/A",(03) 7627 8781,Stormie,"#N/A","#N/A",Jason,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,0410 524 770,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,(03) 7627 8781,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
081463be-d740-41df-9719-9a67ed9e2c26,5661c88a-3312-44e6-8dbe-b7fd455243c9,"#N/A","#N/A","#N/A","#N/A","Gail K. Boudreaux is the President and Chief Executive Officer of Anthem, Inc., a Fortune 50 company and leading health benefits provider, serving more than 40 million consumers—or one in eight Americans—through its affiliated health plans. In total, Anthem serves over 73 million individuals across 27 states through its broad portfolio of health insurance and services subsidiaries, including Amerigroup, Anthem Blue Cross and Blue Shield health plans, CareMore, and Simply Healthcare.",jmanningcongagdo+401@gmail.com,"#N/A","#N/A",Rakel,"#N/A","#N/A",Jules,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(637) 454-9343,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0819e9ab-8e20-41e6-8b2c-268dc17b57e3,2ab3a01b-adab-443c-be42-dcb81d1e2dc7,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+656@gmail.com,"#N/A","#N/A",Sarena,"#N/A","#N/A",Nikolos,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 3982,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0841440b-4499-4614-9ca7-11c61a7581ce,513860eb-88ee-4595-92b2-a79347edd3ab,"#N/A",(03) 7823 7858,"#N/A",Marketing,"#N/A",jmanningcongagdo+787@gmail.com,"#N/A",(03) 7823 7858,Alyssa,"#N/A","#N/A",Read,"#N/A",Bacchus Marsh,Australia,"#N/A","#N/A","#N/A",3340,VIC,57 Clifton Dr,0427 106 345,Bacchus Marsh,Australia,"#N/A","#N/A","#N/A","#N/A",3340,VIC,57 Clifton Dr,(03) 7823 7858,"#N/A","#N/A","#N/A",Director of Marketing,Prodly,"#N/A","#N/A",false,false
08458f62-c19e-4653-a2ab-3be5d02e879e,b90c610b-b6c7-47c9-9ded-b0e869485789,"#N/A",(02) 6522 6876,"#N/A",Sales,"#N/A",jmanningcongagdo+744@gmail.com,"#N/A",(02) 6522 6876,Micheline,"#N/A","#N/A",Kimbell,"#N/A",Como,Australia,"#N/A","#N/A","#N/A",2226,NSW,67 Como Pde,0410 222 872,Como,Australia,"#N/A","#N/A","#N/A","#N/A",2226,NSW,67 Como Pde,(02) 6522 6876,"#N/A","#N/A","#N/A",Senior Vice President of Sales,Prodly,"#N/A","#N/A",false,false
088aa5f6-9ee2-459d-b64f-f266b49c29d6,d6a7e7cb-55f6-4d2d-a45e-9822c718f2c6,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+617@gmail.com.invalid,"#N/A","#N/A",Carmita,"#N/A","#N/A",Raimundo,"#N/A","#N/A",USA,"#N/A","#N/A","#N/A",95113,CA,5565 Maple Wood Street,"#N/A",San Jose,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prodly,"#N/A","#N/A",false,false
08bbbfd2-556b-47fc-bef4-203e41176d1b,dbcae5b1-8ba2-456f-8dd9-e21294d43690,"#N/A","#N/A","#N/A","#N/A","Gerd joined the Law Department of Jacobs Kaffee Deutschland GmbH in 1985, prior to its acquisition in 1990 by Altria Group, Inc. (formerly Philip Morris Companies Inc.). Gerd held a number of senior positions within the German Law Department, including Chief Counsel for the combined operations of Kraft and Jacobs Suchard, covering legal and regulatory affairs. In 2000, he was appointed Vice President & Chief Counsel for Kraft’s Central and Eastern Europe, Middle East and Africa Region, headquartered in Vienna.",jmanningcongagdo+82@gmail.com,"#N/A","#N/A",Noelani,"#N/A","#N/A",Sergio,"#N/A",Los Angeles,USA,"#N/A","#N/A","#N/A",90012,CA,1000 Elysian Park Avenue,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(670) 588-0519,"#N/A","#N/A","#N/A",EVP adn General Counsel,Prodly,"#N/A","#N/A",false,false
08c0c705-26f8-43f0-90ea-91134cdab579,a1f77b25-7933-48ce-9f6c-50e8a2eb967a,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+294@gmail.com,"#N/A","#N/A",Adria,"#N/A","#N/A",Neale,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(312)659-4516,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
093b1806-645d-4a27-976d-2fe5b09ad89a,b5186cfc-afed-4171-ba2c-2e813c1004f2,"#N/A","#N/A",1978-01-08,"#N/A","Mark Thresher is executive vice president, chief financial officer of Nationwide. In addition to finance, Mark leads Nationwide’s corporate strategy, Nationwide’s investment operations and Nationwide Realty Investments, and he is the chair of the Nationwide Bank board of directors.",jmanningcongagdo+520@gmail.com,"#N/A","#N/A",Faith,"#N/A","#N/A",Kenn,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(887) 302-4392,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
0942af6e-0afc-4b85-a31e-5bd069fed109,211862dc-15fd-4bd8-a526-0ba71b28aca3,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+639@gmail.com,"#N/A","#N/A",Fey,"#N/A","#N/A",Fletch,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+81 725 925939,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
09b606f5-eed8-4365-a198-e7790f937749,aa147325-763c-412b-8bed-d2bd5f1d1c8b,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+664@gmail.com,"#N/A","#N/A",Kristal,"#N/A","#N/A",Morie,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 3990,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
0a5fc1e1-ffa0-453a-a3bb-e1ba9b324fbb,196bd9b5-85f4-43e0-af77-c500cadc1299,"#N/A",(03) 6638 7322,"#N/A",CEO,"#N/A",jmanningcongagdo+788@gmail.com,"#N/A",(03) 6638 7322,Justina,"#N/A","#N/A",Zacharias,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3004,VIC,348 St Kilda Road,0415 580 870,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3004,VIC,348 St Kilda Road,(03) 6638 7322,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0ac233b2-fe93-473a-b09c-403106b096d8,86a98b08-fc5c-4c49-9c32-b544025cb25d,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+543@gmail.com,"#N/A","#N/A",Kaylyn,"#N/A","#N/A",Paul,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
0b88685a-2989-4304-9dc1-babb7aef8d96,f4af17e8-bd25-410f-ba47-300f2554839e,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+713@gmail.com,"#N/A","#N/A",Frieda,"#N/A","#N/A",Averill,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4004,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0be1cb62-80c5-4d65-9d63-9dc992b17d8c,82450748-eb1f-4373-90cb-359828d063f2,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+216@gmail.com,"#N/A","#N/A",Glennie,"#N/A","#N/A",Haskell,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(440)475-1490,"#N/A","#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
0c76d841-eb9e-4f9d-bb9d-d53941037af8,be8885bc-bc7e-4fbe-8e9b-593e9a9f034d,"#N/A","#N/A","#N/A","#N/A","Allen was named President and Chief Executive Officer in August 2009. He was appointed President and Chief Operating Officer of the company and a member of the Deere & Company Board of Directors in June 2009. Previously, he served as President, Worldwide Construction & Forestry Division and was responsible for the global operations of John Deere Power Systems. He was also responsible for Deere's intelligent mobile equipment technologies and for Deere's advanced technology and engineering. He has served as a senior officer of the company since 2001, with additional responsibilities in human resources, industrial relations, and John Deere Credit's global operations.",jmanningcongagdo+34@gmail.com,"#N/A","#N/A",Bekki,"#N/A","#N/A",Joshuah,"#N/A",Denver,USA,"#N/A","#N/A","#N/A",80205,CO,2001 Blake Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(436) 105-2913,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0d365fb5-cd9e-4db9-8608-dfcdc00b301b,e34f31c8-411e-430b-8d8c-c218b2999a47,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+172@gmail.com,"#N/A","#N/A",Candra,"#N/A","#N/A",Toiboid,"#N/A",London,UK,"#N/A","#N/A","#N/A",SW6 0EP,"#N/A",39 Crown Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",81 0017 4455,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0d3abade-d6b3-483b-92e3-71d6eed64e82,092f4f77-4dc9-4fa8-8106-8b405f6528cb,"#N/A","#N/A",1972-12-10,"#N/A",Tim Wentworth is responsible for all aspects of the company’s strategic direction and core business. Tim was named President in 2014 and Chief Executive Officer in 2016. Tim joined Express Scripts when the company merged with Medco in April 2012.,jmanningcongagdo+519@gmail.com,"#N/A","#N/A",Kiele,"#N/A","#N/A",Gael,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(147) 717-0891,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
